"Compound";"Code";"site";"Rainfallevent";"conc_water"
"389";"Chlortoluron";"CH38";"P";"Sampling_2";0.00123764558335545
"390";"Chlortoluron";"RO16";"P";"Sampling_1";0.0029078923820569
"391";"Clothianidin";"CH71";"E";"Sampling_4";0.000393199741879775
"392";"Clothianidin";"CH50";"F";"Sampling_3";0.00170266292590687
"393";"Clothianidin";"CH84";"O";"Sampling_4";0.0358700694496012
"394";"Clothianidin";"CH65";"S";"Sampling_3";0.0005003076126676
"395";"Clothianidin";"CH35";"M";"Sampling_2";0.000255803203385523
"396";"Clothianidin";"CH85";"P";"Sampling_4";0.00552886130487428
"397";"Clothianidin";"CH87";"Q";"Sampling_4";0.00374828339229332
"398";"Clothianidin";"CH39";"Q";"Sampling_2";0.00860750511869848
"399";"Clothianidin";"CH70";"D";"Sampling_4";0.000251647324172919
"400";"Clothianidin";"CH29";"G";"Sampling_2";0.00565884439203132
"401";"Clothianidin";"CH68";"B";"Sampling_4";0.000761111047083695
"402";"Clothianidin";"CH41";"S";"Sampling_2";0.00541275639478336
"403";"Clothianidin";"CH62";"Q";"Sampling_3";0.0124526467419096
"404";"Clothianidin";"CH51";"G";"Sampling_3";0.00243519064483908
"405";"Clothianidin";"CH37";"O";"Sampling_2";0.00190547255761168
"406";"Clothianidin";"CH28";"F";"Sampling_2";0.000995207240894958
"407";"Clothianidin";"CH38";"P";"Sampling_2";0.00177252513683727
"408";"Clothianidin";"CH72";"F";"Sampling_4";0.00178972643152786
"409";"Clothianidin";"CH61";"P";"Sampling_3";0.00577793516773685
"422";"Cyproconazol";"CH29";"G";"Sampling_2";0.000174493863203208
"423";"Cyproconazol";"CH40";"R";"Sampling_2";8.54251914722955e-06
"424";"Cyproconazol";"CH39";"Q";"Sampling_2";0.000482237586672355
"425";"Cyproconazol";"CH32";"I";"Sampling_2";0.000252643578264684
"426";"Cyproconazol";"CH74";"G";"Sampling_4";0.0285120081672892
"427";"Cyproconazol";"CH38";"P";"Sampling_2";0.00486836606612624
