"Compound";"Code";"site";"Rainfallevent";"conc_water"
"347";"Carbendazim";"CH21";"A";"2";0.01109896093216
"348";"Carbendazim";"CH56";"K";"3";0.00808720015038768
"349";"Carbendazim";"CH74";"G";"B";0.0113866543299345
"350";"Carbendazim";"CH25";"D";"2";0.00749733583420715
"351";"Carbendazim";"CH63";"R";"3";0.00448575034175294
"352";"Carbendazim";"RO14";"N";"1";0.0056329685069273
"353";"Carbendazim";"CH46";"C";"3";0.00409606008672067
"354";"Carbendazim";"CH58";"M";"3";0.00448415854424294
"355";"Carbendazim";"CH66";"T";"3";0.00404596090479976
"356";"Carbendazim";"CH90";"S";"B";0.0139855234305678
"357";"Carbendazim";"CH53";"H";"3";0.0290814864818748
"358";"Carbendazim";"RO10";"I";"1";0.00641102693333529
"359";"Carbendazim";"CH71";"E";"B";0.00180449012140963
"360";"Carbendazim";"CH32";"I";"2";0.0106277767187742
"361";"Carbendazim";"CH41";"S";"2";0.0195741020448582
"362";"Carbendazim";"CH76";"H";"B";0.00355650095566172
"363";"Carbendazim";"CH68";"B";"B";0.002149492554136
"364";"Carbendazim";"RO3";"C";"1";0.010312222186279
"365";"Carbendazim";"CH65";"S";"3";0.00317912459408385
"366";"Carbendazim";"CH80";"L";"B";0.000818017044903115
"367";"Carbendazim";"CH61";"P";"3";0.00152979015077474
"368";"Carbendazim";"RO11";"K";"1";0.00322838490820402
"369";"Carbendazim";"CH38";"P";"2";0.0174311847787209
"370";"Carbendazim";"CH77";"I";"B";0.00309823969598395
"371";"Carbendazim";"CH47";"D";"3";0.00579856620020654
"372";"Carbendazim";"CH72";"F";"B";0.0135387261458906
"373";"Carbendazim";"CH67";"A";"B";0.00221391211657977
"374";"Carbendazim";"CH27";"E";"2";0.00769761026529918
"375";"Carbendazim";"RO19";"S";"1";0.00470261990436992
"376";"Carbendazim";"RO9";"H";"1";0.00532133858737649
"377";"Carbendazim";"CH54";"I";"3";0.00365675186011148
"378";"Carbendazim";"CH43";"A";"3";0.00660615867903491
"379";"Carbendazim";"CH34";"L";"2";0.00769258179134706
"380";"Carbendazim";"CH50";"F";"3";0.00128801176901252
"381";"Carbendazim";"CH69";"C";"B";0.00963655684306367
"382";"Carbendazim";"CH85";"P";"B";0.00809786218670162
"383";"Carbendazim";"RO1";"A";"1";0.00516858473773416
"384";"Carbendazim";"CH37";"O";"2";0.00578494297555211
"385";"Carbendazim";"RO7";"F";"1";0.00901187867875108
"386";"Carbendazim";"CH57";"L";"3";0.00177478801587963
"387";"Chlortoluron";"CH85";"P";"B";0.670789970874565
"388";"Chlortoluron";"CH61";"P";"3";0.00137280908953748
"389";"Chlortoluron";"CH38";"P";"2";0.00123764558318287
"390";"Chlortoluron";"RO16";"P";"1";0.000969297460737811
"391";"Clothianidin";"CH71";"E";"B";0.000393199741833425
"392";"Clothianidin";"CH50";"F";"3";0.00170266292596546
"393";"Clothianidin";"CH84";"O";"B";0.0358700694537299
"394";"Clothianidin";"CH65";"S";"3";0.000500307612680095
"395";"Clothianidin";"CH35";"M";"2";0.000255803203387615
"396";"Clothianidin";"CH85";"P";"B";0.00552886130441991
"397";"Clothianidin";"CH87";"Q";"B";0.00374828339286897
"398";"Clothianidin";"CH39";"Q";"2";0.00860750511924739
"399";"Clothianidin";"CH70";"D";"B";0.000251647324172506
"400";"Clothianidin";"CH29";"G";"2";0.005658844393241
"401";"Clothianidin";"CH68";"B";"B";0.000761111047056176
"402";"Clothianidin";"CH41";"S";"2";0.00541275639555977
"403";"Clothianidin";"CH62";"Q";"3";0.0124526467415222
"404";"Clothianidin";"CH51";"G";"3";0.00243519064521965
"405";"Clothianidin";"CH37";"O";"2";0.00190547255760462
